"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"AccessPermitInner","ARSTOTZKA","ARSTOTZKA"
"AccessPermitInner","Access Permit","入境許可證"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","此許可證核准持有人在滿足特定條件下入境Arstotzka"
"AccessPermitInner","NAME","姓名"
"AccessPermitInner","NATIONALITY","國籍"
"AccessPermitInner","PURPOSE","入境事由"
"AccessPermitInner","HEIGHT","身高"
"AccessPermitInner","PHYSICAL APPEARANCE","特徵"
"AccessPermitInner","ID NUMBER","證件號碼"
"AccessPermitInner","DURATION","停留時間"
"AccessPermitInner","WEIGHT","體重"
"AccessPermitInner","ENTER BY","至此日前有效"
"AccessPermitInner","Keep on person","請隨身攜帶"
"AccessPermitInner","Ministry of Admission","入境管理部"
"AsylumGrantInner","Arstotzka","Arstotzka"
"AsylumGrantInner","GRANT of ASYLUM","政治庇護證明書"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","此文書保證在Arstotzka國境內有條件之政治庇護"
"AsylumGrantInner","NAT","國籍"
"AsylumGrantInner","ID#","證號"
"AsylumGrantInner","DOB","生日"
"AsylumGrantInner","HT","身高"
"AsylumGrantInner","WT","體重"
"AsylumGrantInner","Offer expires after","此文件有效至"
"AsylumGrantInner","Ministry of Admission","入境管理部"
"BizCardInnerFront","ENGINEERING","工程事務所"
"BizCardInnerFront","Director","董事"
"BizCardInnerBack","WE NEED ENGINEERS","招募工程師"
"BizCardInnerBack","WILL BEAT .GOV PAY","保證高於政府配給薪資"
"BizCardInnerBack","CONTACT NOW","聯絡電話"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","有個叫 <span>Dari Ludum</span> 的男人承諾給我們姐妹Arstotzka裡的好工作。"
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","我認為這個人不可信。我怕他會沒收我們的護照並，以此威脅我們到妓院工作。他今天也在等待入境的隊伍裡。"
"BrothelHelpInner","Please do something.","拜託！請幫助我！"
"BulletinInnerDiploTut","Diplomat","外交官"
"BulletinInnerDiploTut","Verification Procedure","驗證程序"
"BulletinInnerDiploTut","Verify issuing country","1. 驗明發行國家"
"BulletinInnerDiploTut","Verify identity","2. 檢查身份"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","3. 檢查是否被派駐至Arstotzka"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","有文件缺漏時，將其標注並連結至規則手冊中的相關條目。"
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","連結規則手冊中的條目與相關的缺失以進一步質詢。"
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","將發現之武器或違禁品連結至規則手冊之相關條目。"
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","在「檢閱模式」下標注並連結無法吻合的資訊，以進行進一步質詢。"
"BulletinInnerTouchTut","Touch and drag to fine-tune highlighted selection.","按住並移動指標來微調欲標注之項目。"
"BulletinInnerPassportTut","Pay attention to passport nationality.","務必注意護照的國籍與封面是否相符。"
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Arstotzkan<br>入境管理部"
"BulletinInnerBoothTut","Inspector's Booth","移民官工作室"
"BulletinInnerBoothTut","Shutter","門簾開關"
"BulletinInnerBoothTut","Counter","櫃台"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","規則手冊<br>對話紀錄<br>告示板收納處<br>時間及日期"
"BulletinInnerBoothTut2","Arstotzkan<br>Ministry of Admission","Arstotzkan<br>入境管理部"
"BulletinInnerBoothTut2","Inspector's Booth","移民官工作室"
"BulletinInnerBoothTut2","Shutter","門簾開關"
"BulletinInnerBoothTut2","Counter","櫃台"
"BulletinInnerBoothTut2","Audio Transcript<br>Rule Book<br>Weight<br>","對話紀錄<br>規則手冊<br>對象重量<br>"
"BulletinInnerBoothTut2","Bulletin Storage<br>Time &amp; Date","告示板收納處<br>時間及日期"
"BulletinInnerGunTut","Weapons Protocol","武器使用守則"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","當警鈴響起時"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","將安全鑰匙插入跳出的側欄以解鎖武器。"
"BulletinInnerGunTut","Select gun, aim and fire.","選擇槍枝，瞄準後開火。"
"BulletinInnerGunTut","Time is short. Act fast.","時間有限，請迅速行動。"
"BulletinInnerFilerTut","Passport Confiscation","護照沒收程序"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","檢查身份證的註冊地是否為ALTAN。"
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","將護照放入沒收品抽屜中。"
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","如需逮捕對象，務必在移送法辦前先將護照沒收。"
"BulletinInnerCriminals","Ministry of Justice","法務部"
"BulletinInnerCriminals","WANTED CRIMINALS","通緝犯名單"
"BulletinInnerNews","NEWS","新聞快報"
"BulletinPagesNote","CHECK ALL<br>PAGES","詳閱所有內容"
"CitationInner","M.O.A. CITATION","入管部罰單"
"DiplomaticAuthInner","Diplomatic<br>Authorization","外交官授權書"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","本文件授權以下人員外交官身份，並擔任國際會議中會員國代表。"
"DiplomaticAuthInner","AGENT","人員"
"DiplomaticAuthInner","PASSPORT","護照編號"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","請所有國際評議會之會員國無條件准許此授權書持有者入境。"
"DiplomaticAuthInner","This document has no expiry.","此文件無失效日期。"
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","國際評議會 - 七國聯合論壇"
"EntryPermitInner","ARSTOTZKA","ARSTOTZKA"
"EntryPermitInner","Entry Permit","入境證"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","在此准許以下人員有條件進入Arstotzka國境內"
"EntryPermitInner","bearing passport number","護照號碼"
"EntryPermitInner","Purpose","目的"
"EntryPermitInner","Duration","期間"
"EntryPermitInner","Enter by","有效至"
"EntryPermitInner","Ministry of Admission","入境管理部"
"EntryTicketInner","Arstotzka","Arstotzka"
"EntryTicketInner","ENTRY TICKET","入境券"
"EntryTicketInner","VALID ON","當日有效"
"EzicNoteInnerOpen","READ QUICKLY","快速閱讀後"
"EzicNoteInnerOpen","RETURN TO MESSENGER","將訊息交還"
"FamilyPhotoInner","HANG ON WALL","掛 在 牆 上"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","將此表格遞給入境申請者"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","你需要偽造<br>OBRISTAN 文件嗎?"
"ForgeryFlyerInnerFront","""It looks so real!""","""看起來幾乎跟真品一樣！"""
"ForgeryFlyerInnerFront","""Approved for entry!""","""成功過境了！"""
"ForgeryFlyerInnerFront","Fair rates!","價格公道！"
"ForgeryFlyerInnerFront","No questions asked!","不需任何證明！"
"ForgeryFlyerInnerFront","Fast turnaround!","製作快速！"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","條件請參考背面"
"ForgeryFlyerInnerBack","PRICING (EACH)","價格 (每份)"
"ForgeryFlyerInnerBack","Passport *","護照 *"
"ForgeryFlyerInnerBack","Entry Ticket","入境券"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","顧客需提供自備之Obristan護照以將資料更新至其中。"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","在Arstotzka/Obristan邊境皆可服務"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","請找Timofei Wee"
"GymFlyerInner","Underweight?Weak?Tired?","瘦小？虛弱？疲勞？"
"GymFlyerInner","JOIN BEST GYM!","加入<br>最棒<br>健身"
"GymFlyerInner","GET BIG TOWN","長出大肌肉"
"GymFlyerInner","East Grestin","East Grestin"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","此入境申請人缺少所需文件"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","進入「視察模式」進行標注及質詢。"
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","參閱今日告示板第2頁的詳細流程。"
"IdCardInner","ARSTOTZKA IDENTITY CARD","ARSTOTZKA 身份證"
"IdCardInner","DOB","生日"
"IdCardInner","HT.","身高"
"IdCardInner","WT.","體重"
"IdentityRecordInner","M.O.A. IDENTITY RECORD","入管部 身份紀錄"
"IdentityRecordInner","NAME:","姓名："
"IdentityRecordInner","ALIAS:","別名："
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","入境申請者的指紋及所有證件上之姓名必須與此紀錄相符。"
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","身份辨識<br>補充信息"
"IdSupplementInner","HT","身高"
"IdSupplementInner","WT","體重"
"IdSupplementInner","DESCRIPTION","描述"
"IdSupplementInner","THUMB","指印"
"IdSupplementInner","Keep on person","請隨身攜帶"
"IdSupplementInner","EXP.","過期日"
"LocketInnerOpen","To Sergiu from your Elisa","給 Sergiu<br>來自你的Elisa"
"LocketInnerOpen","I Love You Always","我永遠<br>愛你"
"LoveSongInner1","YOU","小哥"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","你有如火焰般的熱情"
"LoveSongInner2","you","小哥"
"LoveSongInner2","OBJECT OF DESIRE","就是我最想要的東西"
"LoveSongInner3","YOU<br>(AGAIN)","小哥<br>(還是你)"
"LoveSongInner3","WRAP MY HEART IN WIRE","像鐵絲一般<br>緊緊纏繞我的心房"
"LoveSongInner4","ApPROVED","讓我通過"
"LoveSongInner4","APPROVE MY VISA","核准人家的簽證嘛~"
"tweak-passport-field-padding-left","2px","0px"
"PassportInnerAntegria","ENTRY VISA","入境簽證"
"PassportInnerAntegria","DOB.","生日"
"PassportInnerAntegria","SEX","性別"
"PassportInnerAntegria","ISS.","發行"
"PassportInnerAntegria","EXP.","過期"
"PassportInnerAntegria","ANTEGRIA","ANTEGRIA"
"tweak-passport-arstotzka-nation","16px","12px"
"PassportInnerArstotzka","ENTRY VISA","入境簽證"
"PassportInnerArstotzka","DOB.","生日"
"PassportInnerArstotzka","SEX","性別"
"PassportInnerArstotzka","ISS.","發行"
"PassportInnerArstotzka","EXP.","過期"
"PassportInnerArstotzka","ARSTOTZKA","ARSTOTZKA"
"PassportInnerImpor","ENTRY VISA","入境簽證"
"PassportInnerImpor","DOB.","生日"
"PassportInnerImpor","SEX","性別"
"PassportInnerImpor","ISS.","發行"
"PassportInnerImpor","EXP.","過期"
"PassportInnerImpor","IMPOR","IMPOR"
"PassportInnerKolechia","ENTRY VISA","入境簽證"
"PassportInnerKolechia","DOB.","生日"
"PassportInnerKolechia","SEX","性別"
"PassportInnerKolechia","ISS.","發行"
"PassportInnerKolechia","EXP.","過期"
"PassportInnerKolechia","KOLECHIA","KOLECHIA"
"PassportInnerObristan","ENTRY VISA","入境簽證"
"PassportInnerObristan","DOB.","生日"
"PassportInnerObristan","SEX","性別"
"PassportInnerObristan","ISS.","發行"
"PassportInnerObristan","EXP.","過期"
"PassportInnerObristan","OBRISTAN","OBRISTAN"
"PassportInnerRepublia","ENTRY VISA","入境簽證"
"PassportInnerRepublia","DOB.","生日"
"PassportInnerRepublia","SEX","性別"
"PassportInnerRepublia","ISS.","發行"
"PassportInnerRepublia","EXP.","過期"
"PassportInnerRepublia","REPUBLIA","REPUBLIA"
"PassportInnerUnitedFed","ENTRY VISA","入境簽證"
"PassportInnerUnitedFed","DOB.","生日"
"PassportInnerUnitedFed","SEX","性別"
"PassportInnerUnitedFed","ISS.","發行"
"PassportInnerUnitedFed","EXP.","過期"
"PassportInnerUnitedFed","UNITED FEDERATION","UNITED FEDERATION"
"PlaqueOneInner","Ministry of Admission","入境管理部"
"PlaqueOneInner","RECOGNITION","表揚狀"
"PlaqueOneInner","FOR","事由"
"PlaqueOneInner","HANG ON WALL","掛 在 牆 上"
"PlaqueTwoInner","Ministry of Admission","入境管理部"
"PlaqueTwoInner","RECOGNITION","表揚狀"
"PlaqueTwoInner","FOR","事由"
"PlaqueTwoInner","HANG ON WALL","掛 在 牆 上"
"PoisonInnerBack","OPEN","打 開"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","千 萬 不 要<br>碰 到 粉 末"
"PoisonInnerOpen1","CLOSE","關 閉"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","將 粉 末 對 準 護 照"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","按 壓 此 處 以<br>轉 移 粉 末"
"PoisonInnerOpen2","CLOSE","關閉"
"PoliceBadgeInner","MINISTRY OF INFORMATION","國家情報部"
"PoliceBadgeInner","Office of Investigation","調查辦公室"
"PoliceBadgeInner","East Grestin Division","East Grestin支部"
"PoliceBadgeInner","Special Investigator","特別調查官"
"PoliceBadgeInner","MOI","MOI"
"PressPassInner","INTERNATIONAL","國際"
"PressPassInner","PRESS","記者證"
"PressPassInner","IDENTIFICATION","__________"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","必須獲准進入ARSTOTZKA"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","護照的 <span>發行</span> 欄位<br>必須有效"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","文件必須蓋上有效鋼印"
"RulesInnerHome","Arstotzkan","Arstotzkan"
"RulesInnerHome","Ministry<span>of</span>Admission","入境管理部"
"RulesInnerHome","RULES","守則"
"RulesInnerHome","&amp;","與"
"RulesInnerHome","REGULATIONS","規章"
"RulesInnerHome","for Inspectors","移民官專用"
"RulesInnerHome","CONTENTS","內容"
"RulesInnerHome","PROPERTY OF","此手冊為"
"RulesInnerHome","M.O.A","入管部財產"
"RulesInnerBasic","RULES","守則"
"RulesInnerRegion","DIPLOMATIC SEALS","外交鋼印"
"RulesInnerRegion","PASSPORT","護照"
"RulesInnerRegion","ISSUING CITIES","發行城市"
"RulesInnerRegionArstotzka","DISTRICTS","居住地"
"RulesInnerRegionArstotzka","PASSPORT","護照"
"RulesInnerRegionArstotzka","ISSUING CITIES","發行城市"
"RulesInnerBooth","INSPECTOR'S BOOTH","移民官工作室"
"RulesInnerBooth","Shutter","門簾開關"
"RulesInnerBooth","Counter","櫃台"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","規則手冊<br>對話紀錄<br>告示板<br>時間及日期"
"RulesInnerBooth","UPGRADES","升級配件"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","沒有已安裝的配件"
"RulesInnerBooth2","INSPECTOR'S BOOTH","INSPECTOR'S BOOTH"
"RulesInnerBooth2","Shutter","門簾開關"
"RulesInnerBooth2","Counter","櫃台"
"RulesInnerBooth2","Audio Trans.<br>Rule Book<br>Weight","對話紀錄<br>規則手冊<br>體重"
"RulesInnerBooth2","Bulletin<br>Time &amp; Date","告示板<br>時間及日期"
"RulesInnerBooth2","UPGRADES","升級配件"
"RulesInnerBooth2","NO UPGRADES<br>INSTALLED","沒有已安裝的配件"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","官方認可的"
"RulesInnerDocs","DOCUMENTS","文件種類"
"RulesInnerDocs","CONTENTS","內容"
"RulesInnerEntryPermit","ENTRY PERMIT","入境證"
"RulesInnerEntryPermit","VALID SEALS","有效鋼印"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","ARSTOTZKAN<br>身份證"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","發予所有<br>ARSTOTZKA國民"
"RulesInnerIdCard","DISTRICTS","居住地"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","身份辨識<br>補充信息"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","發予所有通過核准之<br>外國籍民眾"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","用以驗證外籍人士的相貌與外觀"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","必要時要請一並核對指紋紀錄"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","此為短期許可文件，請小心檢查過期日"
"RulesInnerAccessPermit","ACCESS PERMIT","入境許可證"
"RulesInnerAccessPermit","VALID SEALS","有效鋼印"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","此文件將取代入境證<br>及身份辨識補充信息"
"RulesInnerWorkPermit","WORK PASS","工作許可證"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","發予所有通過核准之外籍勞工"
"RulesInnerWorkPermit","VALID SEALS","有效鋼印"
"RulesInnerDiplomaticAuth","DIPLOMATIC","外交官"
"RulesInnerDiplomaticAuth","AUTHORIZATION","授權書"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","核對規則手冊中<br>各國資料頁面的鋼印圖樣"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","政治庇護<br>證明書"
"RulesInnerAsylumGrant","VALID SEALS","有效鋼印"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","請務必核對指紋"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","疫苗接種認証"
"RulesInnerVaccineCert","MINISTRY","國民衛生部"
"RulesInnerVaccineCert","OF","_____________"
"RulesInnerVaccineCert","HEALTH","Arstotzkan"
"RulesInnerVaccineCert","REGULATION DOCUMENT","發行文件"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","所有入境者必須接種<br>小兒麻痺疫苗。"
"RulesInnerVaccineCert","NO EXCEPTIONS","不接受任何例外"
"RulesInnerConfiscation","PASSPORT CONFISCATION","沒收護照"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","將護照放至<br>沒收品抽屜中"
"RulesInnerConfiscation","POLICY","準則"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","在移送法辦前<br>務必先沒收護照"
"RulesInnerConfiscation","MOI","外管部"
"RulesInnerLast","PROPERTY OF","此手冊為"
"RulesInnerLast","M.O.A.","入館部財產"
"RulesInnerLast","GLORY TO ARSTOTZKA","ARSTOTZKA萬歲。"
"RulesInnerLast","Arstotzkan","Arstotzkan"
"RulesInnerLast","Ministry of Admission","入境管理部"
"RulesInnerLast","Rules &amp; Regulations","移民官專用"
"RulesInnerLast","for Inspectors","守則與規章"
"RulesInnerLast","1982-1983 Edition","1982-1983 版"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","嚴禁外流<br>違者將受到嚴厲懲處"
"RulesTabConfL","CONF.","沒收"
"RulesTabConfR","CONF.","沒收"
"RulesTabDocsL","DOCS","文書"
"RulesTabDocsR","DOCS","文書"
"RulesTabMapL","MAP","地圖"
"RulesTabMapR","MAP","地圖"
"RulesTabRulesL","RULES","守則"
"RulesTabRulesR","RULES","守則"
"RulesUpgrade0","TOGGLE INSPECT","開關檢閱模式"
"RulesUpgrade0","SPACE","空白鍵"
"RulesUpgrade1","TOGGLE STAMP BAR","開關印章工具"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","規則手冊書簽"
"RulesUpgrade3","QUICK INSPECT","快速檢閱"
"RulesUpgrade3","DOUBLE-CLICK","雙擊滑鼠左鍵"
"RulesUpgrade4","MULTITOUCH","多點觸控"
"SeizureSlipInner","Arstotzka Ministry of Admission","Arstotzka 入境管理部"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","沒收護照替代卡"
"SeizureSlipInner","ENTRY VISA","入境簽證"
"SeizureSlipInner","Your passport has been seized.","您的護照已被沒收，"
"SeizureSlipInner","Contact 1509-6103 for redress.","聯絡1509-6103以修正問題。"
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Kolechian 小水雁<br>的交配行為"
"SpyDocsInnerBack","A FULL REPORT","完整報告"
"SpyDocsInnerBack","Ministry of Information","國家情報部"
"TranscriptInner","AUDIO TRANSCRIPT","對話紀錄"
"VaccineCertInner","Certificate<span>of</span>Vaccination","疫苗接種<span></span><br>證書"
"VaccineCertInner","ID#","證號"
"VaccineCertInner","DATE","日期"
"VaccineCertInner","VACCINE","疫苗種類"
"VaccineCertInner","Vax valid for 3 years","疫苗有效期間為3年"
"VisaSlipInner","TEMPORARY VISA SLIP","臨時簽證卡"
"VisaSlipInner","ENTRY VISA","入境簽證"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","限用於拒絕入境"
"WorkPermitInner","Ministry of Labor","國家勞動部"
"WorkPermitInner","Work Pass","工作許可證"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","This pass grants its holder the right to work in a specific field for a limited time."
"WorkPermitInner","HOLDER","HOLDER"
"WorkPermitInner","FIELD","FIELD"
"WorkPermitInner","UNTIL","UNTIL"
"WorkPermitInner","Keep this pass with you at all times.","Keep this pass with you at all times."
"EndNews","Kolechian Consensus Reached Over Grestin","與Kolechian的議和<br>終於觸及Grestin"
"ApartmentClass","CLASS","等級"
"DetainButton","DETAIN","移 送 法 辦"
"FingerprintButton","FINGERPRINT","檢 查 指 紋"
"SearchButton","SEARCH","進 行 搜 身"
"EmblemsMOA","M.O.A","入管"
"EmblemsMOA","M.O.L","勞工"
"EmblemsMOL","M.O.L","勞工"
"Filer","CONFISCATED DOCUMENTS","沒收文件"
"Filer","PROPERTY OF","入境管理部"
"Filer","M.O.A.","財產"
"GiveIcon","GIVE","交予"
"LoadButtonNew","NEW","重來"
"LoadDay","DAY","日"
"LoadDrag","DRAG TO SCROLL","按 住 以 捲 動"
"News","The Truth of Arstotzka","Arstotzka真理報"
"News","No Charge","免費"
"ReasonButton","REASON","拒簽事由"
"RifleKill","KILL","致命"
"RifleTranq","TRANQ","非致命"
"StampBarMid","ALIGN VISA BENEATH STAMP","將 簽 證 欄 對 齊 印 章"
"Upgrades","SPACE","空白鍵"
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","capture/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","掛 在 牆 上"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","capture/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","East Grestin"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","滿足你所有幻想"
"image:PezpertInner.png","capture/PezpertInner.png","capture/PezpertInner.png"
"PezpertInner","STAMP HERE","蓋在這裡"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","capture/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","ㄍㄨㄚˋ在ㄑ一ㄤˊ上"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","capture/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","capture/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","export/Emotions.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","export/LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","export/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","export/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","export/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","export/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","export/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","export/InkReason.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","export/Intro1.png"
"image:Obrinspector.png","export/Obrinspector.png","export/Obrinspector.png"
"image:Shutter.png","export/Shutter.png","export/Shutter.png"
"news:RANDOM_WEATHER","The Weather","天氣"
"news:RANDOM_SPORTS","Sports","體育"
"news:RANDOM_ENTERTAINMENT","Entertainment","娛樂"
"news:RANDOM_POLITICS","Politics","政治"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","Grestin邊境檢查哨總算開放了！"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","經過6年的鎖國，入境管理部能好好確保我國的安全嗎？"
"news:FIRST_DAY","Families To Reunite","家人等待團聚"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","Grestin檢查哨大成功！"
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners","即將放寬限制，准許外籍人士進入"
"news:CHECKPOINT_SUCCESS","Analysts Upbeat","分析師雀躍不已"
"news:CHECKPOINT_SUCCESS","Increased Trade And Cooperation Predicted","預期貿易及企業將大幅成長"
"news:FIRST_TERRORISTS","Terrorists Strike At Grestin!","Grestin發生恐怖攻擊！"
"news:FIRST_TERRORISTS","Kolechian Agitators Suspected.","Kolechian激進份子為頭號嫌犯"
"news:FIRST_TERRORISTS","Checkpoint Lockdown","檢查哨封閉"
"news:FIRST_TERRORISTS","More Guards - More Scrutiny","更多的守衛及查驗"
"news:BLACKMARKET_EXPLODES","Blackmarket Activity Explodes","黑市交易劇增"
"news:BLACKMARKET_EXPLODES","Government Blames Lax Immigration Controls","政府怪罪鬆散的進口控制"
"news:BLACKMARKET_EXPLODES","Checkpoint Expansion Postponed","檢查哨的擴建將延遲"
"news:WORKPERMIT_FIRST","Jobs Few, Becoming Fewer","工作機會變得更少"
"news:WORKPERMIT_FIRST","Immigrants Taking Jobs From Locals","外籍移民與本地勞工搶工作"
"news:KOLECHIA_COMPLAINS_SEARCH","Kolechian Leader Files Complaint","Kolechian領導人提出控訴"
"news:KOLECHIA_COMPLAINS_SEARCH","Claims Unprovoked Border Searches Violate Rights","聲稱我國無預警的入境搜查違反人權"
"news:AFTER_SUICIDE_BOMBER","Another Attack At Grestin Checkpoint!","Grestin檢查哨又傳恐怖攻擊！"
"news:AFTER_SUICIDE_BOMBER","Suicide Bomber Slips Through Security","自殺炸彈客從警備的眼皮下溜過"
"news:GENERIC_BOMBER","Grestin Suffers Another Border Attack","Grestin檢查哨恐攻再起！"
"news:GENERIC_BOMBER","Suicide Bombings Becoming Routine","他們是把自殺炸彈排入例行公事嗎"
"news:PIMP_BUSTED","Human Trafficking Ring Shut Down!","大破人口販賣集團！"
